Census House Number,Main Material of Floor,Main Material of Walls,Main Material of Ceiling,Building Usage,Condition of Building,Number of People,Name of Head of Family,Gender,Rooms in House,Married Pairs,Drinking Water Source,Location of Water Sources,Light Source,Sanitation Facilities,Rest Room,Sewage Flow,In Premises Bathing Facilities,Cooking Gas,Cooking Fuel,Radio Transmitter,TV,Internet Connection,Laptop / Computer,Transportation Mode,Primary Consumed Food,Phone Number
207,Mosaic / Vitrified tiles,Stone-slab flooring,Asbestos Sheets,House,Non Livable,6,Anand Nayak,Male,2,2,Purified water,Community,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,No,ATB,Rice,8739930561
208,Cement,Tiles/Bricks,Concrete,House,Livable,6,Raghu Balija,Male,4,2,Well,In premises,Electricity,Walkable distance,No,Rings,No roof,LPG/PNG,Solar cooker,Smartphone,Other,Yes,Yes,N/A,Pulao,9120750110
209,Tiles/Bricks,Tiles/Bricks,Penkulu,House,Non Livable,5,Harish Nayak,Male,2,1,Well,In premises,Electricity,Shared by community,Yes,Rings,Bathroom,N/A,Wood,Smartphone,Cable connection,Yes,No,Bike,Rice and Rasam,9607283268
210,Stone-slab flooring,Stones,Mud,House,Non Livable,12,Bhaskar Goud,Male,1,2,Purified water,Community,Electricity,Walkable distance,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,N/A,Rice,7908781414
211,Tiles/Bricks,Tiles/Bricks,Stone,House,Livable,3,Satyam Pawar,Male,1,1,Hand pump,In premises,Kerosene,Shared by community,Yes,Rings,N/A,N/A,Wood,Smartphone,Cable connection,No,No,Bike,Jowar Roti,8777547812
212,Mosaic / Vitrified tiles,Cement,Concrete,Hospital,Livable,4,Kavitha Kapu,Female,3,0,Other sources,In range of 500m,Electricity,Walkable distance,Yes,N/A,Bathroom,LPG/PNG,Electricity,N/A,N/A,No,No,N/A,Rice and Vegetables,8278816580
213,Cement,Cement,Concrete,Shop,Livable,3,Mahalakshmi Chary,Female,2,0,Purified water,Community,No sunlight,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,No,No,Cycle,Jowar Roti,6844989266
214,Stones,Mosaic / Vitrified tiles,Concrete,Rent,Livable,4,Nagaraj Kumar,Male,2,1,Hand pump,Community,Electricity,Usage only for family,Yes,Septic tank,No roof,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,N/A,Rice and Fish,9773926030
215,Tiles/Bricks,Mosaic / Vitrified tiles,Concrete,House,Livable,10,Krishna Chary,Male,1,1,Hand pump,In range of 500m,Electricity,Walkable distance,No,N/A,N/A,LPG/PNG,Solar cooker,Smartphone,DTH connection,Yes,No,Cycle,Rice and Vegetables,7984257991
216,Cement,Tiles/Bricks,Other materials,House,Livable,9,Balaji Patil,Male,2,3,Hand pump,In range of 500m,Electricity,Shared by community,Yes,Rings,N/A,LPG/PNG,Wood,N/A,Cable connection,No,No,ATB,Rice and Dal,9659916247
217,Cement,Mosaic / Vitrified tiles,Concrete,Rent,Livable,5,Kavitha Balija,Female,1,1,Purified water,In premises,Kerosene,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,N/A,DTH connection,No,No,N/A,Rice and Dal,9258874495
218,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Penkulu,Hospital,Livable,4,Shanthi Patil,Female,4,0,Hand pump,In range of 500m,Solar power,Shared by community,No,Septic tank,Bathroom,LPG/PNG,Biogas,N/A,N/A,No,No,Bike,Rice and Vegetables,9698490277
219,Cement,Cement,Concrete,House,Livable,10,Thirupathi Budiga,Male,5,3,Well,Community,Any other,Usage only for family,Yes,Septic tank,No roof,LPG/PNG,Electricity,Radio,N/A,No,No,Car,Rice and Vegetables,8439376904
220,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,Rent,Livable,6,Sai Yadav,Male,3,0,River,In range of 500m,Electricity,Shared by community,No,N/A,Bathroom,LPG/PNG,Solar cooker,Radio,Doordarshan,Yes,No,N/A,Jowar Roti,7565880434
221,Soil/Mud,Stones,Mud,Empty,Broken,0,N/A,N/A,2,0,Packaged water,In range of 500m,Electricity,Shared by community,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,9284639208
222,Stones,Tiles/Bricks,Asbestos Sheets,House,Non Livable,3,Padma Jangam,Female,1,1,Purified water,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,Yes,N/A,Rice and Dal,9472929314
223,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,Hospital,Livable,3,Madhavi Uppara,Female,4,0,Other sources,In range of 500m,Electricity,Shared by community,No,Septic tank,No roof,LPG/PNG,Electricity,Smartphone,Other,Yes,No,ATB,Roti and Dal,8455884506
224,Stones,Cement,Concrete,Rent,Livable,9,Ramana Mudiraj,Male,3,1,Packaged water,In range of 500m,Electricity,Usage only for family,No,Septic tank,Bathroom,N/A,Wood,Smartphone,Other,Yes,Yes,Bike,Rice,8449647598
225,Tiles/Bricks,Cement,Concrete,House,Livable,12,Vasantha Chary,Female,6,1,Well,In premises,Electricity,Walkable distance,Yes,Septic tank,No roof,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,Bike,Rice,8722820055
226,Other materials,Cement,Stone,Empty,Livable,0,N/A,N/A,1,0,Hand pump,Community,Electricity,Shared by community,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,9493085368
227,Cement,Cement,Concrete,Hotel,Livable,2,Apparao Mangali,Male,4,0,Hand pump,Community,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Kerosene,Smartphone,Cable connection,Yes,No,Bike,Wheat,7080214427
228,Mosaic / Vitrified tiles,Cement,Asbestos Sheets,House,Livable,6,Geetha Gupta,Female,3,2,River,In premises,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,N/A,DTH connection,No,No,N/A,Rice and Dal,9303718376
229,Soil/Mud,Tiles/Bricks,Penkulu,House,Non Livable,12,Vani Lambadi,Female,5,4,Well,In premises,Kerosene,Walkable distance,Yes,Septic tank,Bathroom,N/A,Cow dung cakes,Smartphone,N/A,Yes,No,ATB,Bajra Roti,7513271950
230,Soil/Mud,Other materials,Asbestos Sheets,Shop,Non Livable,3,Nagaraj Goud,Male,4,0,Packaged water,In range of 500m,Electricity,Usage only for family,No,Septic tank,Bathroom,N/A,Grass (dry),Smartphone,Cable connection,Yes,Yes,Bike,Rice and Dal,9498218274
231,Cement,Stones,Penkulu,House,Non Livable,9,Tulasi Chakali,Female,2,3,Hand pump,In premises,Electricity,Walkable distance,No,Septic tank,No roof,N/A,Wood,Smartphone,DTH connection,Yes,Yes,ATB,Rice,7203173109
232,Tiles/Bricks,Cement,Mud,Rent,Livable,5,Nagamani Thogata,Female,2,0,Other sources,Community,No sunlight,Walkable distance,Yes,Rings,Bathroom,N/A,Electricity,N/A,Doordarshan,No,No,N/A,Rice and Curry,6381138633
233,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,Rent,Livable,12,Kishore Rathod,Male,4,4,Lake,Community,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,N/A,No,No,N/A,Rice and Dal,9593983684
234,Other materials,Cement,Concrete,Empty,Livable,0,N/A,N/A,1,0,Other sources,In premises,Electricity,Usage only for family,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,9931572791
235,Cement,Mosaic / Vitrified tiles,Concrete,House,Livable,6,Ramadevi Mangali,Female,4,2,Well,Community,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,N/A,Rice and Dal,9998136462
236,Stones,Stones,Concrete,Rent,Livable,7,Gopal Erukala,Male,1,2,Packaged water,Community,Electricity,Usage only for family,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,No,Cycle,Rice and Dal,8535590425
237,Soil/Mud,Stones,Asbestos Sheets,Empty,Broken,0,N/A,N/A,3,0,Purified water,In premises,No sunlight,Walkable distance,Yes,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,8204394070
238,Other materials,Cement,Concrete,Devotional Place,Livable,7,Laxmamma Chakali,Female,2,0,Other sources,Community,Electricity,Usage only for family,Yes,N/A,No roof,N/A,Wood,N/A,Cable connection,No,Yes,ATB,Rice and Dal,8384046084
239,Other materials,Cement,Concrete,Shop,Livable,7,Deepak Kuruma,Male,5,0,Well,In premises,Electricity,Walkable distance,No,Septic tank,Bathroom,LPG/PNG,Kerosene,Smartphone,N/A,No,No,Car,Rice,7925188125
240,Tiles/Bricks,Cement,Asbestos Sheets,Shop,Non Livable,7,Manga Naidu,Female,4,0,Hand pump,Community,Electricity,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Solar cooker,Smartphone,DTH connection,Yes,Yes,Cycle,Rice and Sambar,7897526772
241,Stones,Soil/Mud,Concrete,House,Broken,7,Ganesh Rao,Male,2,1,Other sources,In range of 500m,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,No,Car,Millets,6817703886
242,Tiles/Bricks,Cement,Asbestos Sheets,House,Non Livable,1,Gopal Nayak,N/A,2,0,Well,In premises,Electricity,Walkable distance,No,N/A,Bathroom,LPG/PNG,Cow dung cakes,Smartphone,Cable connection,Yes,No,Car,Rice and Dal,8702793714
243,Cement,Stone-slab flooring,Concrete,Shop,Livable,2,Nagaraj Chary,Male,6,0,Well,In range of 500m,Electricity,Walkable distance,Yes,Septic tank,No roof,N/A,Cow dung cakes,Smartphone,N/A,Yes,Yes,N/A,Rice and Dal,8742123094
244,Cement,Cement,Concrete,Rent,Livable,8,Prasad Thogata,Male,2,1,Purified water,Community,Electricity,Shared by community,Yes,Rings,N/A,LPG/PNG,Kerosene,Smartphone,N/A,Yes,No,N/A,Wheat,6016224999
245,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,Shop,Livable,1,Devi Vaddera,Female,1,0,Packaged water,In range of 500m,Solar power,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,No,N/A,Millets,6794695489
246,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Asbestos Sheets,Rent,Livable,12,Apparao Patil,N/A,4,3,Well,In premises,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Electricity,Radio,N/A,No,No,ATB,Wheat,6448850155
247,Cement,Cement,Mud,Hotel,Livable,6,Anand Naidu,Male,6,0,Purified water,In premises,Electricity,Walkable distance,No,Rings,N/A,N/A,Wood,Smartphone,Cable connection,Yes,No,Cycle,Rice and Vegetables,8512405682
248,Soil/Mud,Tiles/Bricks,Burnt Bricks,Rent,Non Livable,5,Nagamani Setty,Female,3,1,Well,Community,Any other,Usage only for family,Yes,Septic tank,No roof,N/A,Solar cooker,Smartphone,Cable connection,Yes,No,Bike,Ragi Mudde,8521823076
249,Tiles/Bricks,Soil/Mud,Penkulu,House,Broken,10,Bhavani Singh,Female,3,0,Lake,In premises,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,Cycle,Rice and Vegetables,6385854249
250,Soil/Mud,Mosaic / Vitrified tiles,Penkulu,Rent,Livable,8,Srinivas Boya,Male,2,0,Well,In premises,Electricity,Shared by community,No,Rings,No roof,LPG/PNG,Electricity,Smartphone,Other,Yes,No,Cycle,Ragi Mudde,9921717477
251,Tiles/Bricks,Mosaic / Vitrified tiles,Asbestos Sheets,Devotional Place,Livable,6,Ganesh Goud,Male,4,0,Packaged water,In premises,Electricity,Usage only for family,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,No,Cycle,Millets,6487696393
252,Mosaic / Vitrified tiles,Stones,Concrete,House,Livable,12,Venu Mangali,Male,4,4,Hand pump,In premises,Kerosene,Usage only for family,No,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,No,Yes,Cycle,Chapati,9570132902
253,Cement,Tiles/Bricks,Concrete,House,Livable,8,Pushpa Dasari,Female,2,1,Other sources,In premises,No sunlight,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,Car,Rice,8140369656
254,Mosaic / Vitrified tiles,Stone-slab flooring,Concrete,House,Livable,3,Murali Dasari,Male,2,1,Well,In range of 500m,Electricity,Usage only for family,No,Septic tank,N/A,LPG/PNG,Biogas,Smartphone,Other,Yes,No,N/A,Bajra Roti,9927868765
255,Tiles/Bricks,Stone-slab flooring,Penkulu,Rent,Non Livable,4,Murali Reddy,Male,2,1,Other sources,Community,Kerosene,Usage only for family,Yes,Rings,Bathroom,N/A,Biogas,N/A,Cable connection,No,No,Cycle,Roti and Dal,6894905807
256,Tiles/Bricks,Cement,Concrete,Shop,Livable,5,Venu Rathod,Male,3,0,Well,In range of 500m,Electricity,Shared by community,Yes,Rings,No roof,LPG/PNG,Biogas,Radio,Doordarshan,No,No,Bike,Rice and Vegetables,8401929275
257,Other materials,Stones,Asbestos Sheets,House,Non Livable,1,Jyothi Padmashali,Female,1,0,Packaged water,In range of 500m,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Biogas,Radio,N/A,No,No,Bike,Roti and Dal,7667428604
258,Cement,Stones,Other materials,Shop,Broken,1,Pushpa Mangali,Female,1,0,Hand pump,In range of 500m,Solar power,Usage only for family,Yes,Septic tank,No roof,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,Yes,Bike,Bajra Roti,7580010618
259,Cement,Soil/Mud,Concrete,House,Livable,4,Pavan Mala,Male,1,0,Other sources,In premises,Electricity,Usage only for family,No,Septic tank,No roof,LPG/PNG,Biogas,Smartphone,DTH connection,No,No,Bike,Jowar Roti,6746542140
260,Stone-slab flooring,Mosaic / Vitrified tiles,Stone,House,Non Livable,3,Deepak Sharma,Male,1,1,Purified water,Community,Electricity,Shared by community,Yes,Rings,N/A,N/A,Wood,Radio,DTH connection,No,No,Cycle,Rice and Vegetables,6642569087
261,Cement,Mosaic / Vitrified tiles,Asbestos Sheets,Rent,Livable,12,Sekhar Kumar,Male,1,3,River,In premises,Electricity,Walkable distance,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,Bike,Rice,9157173203
262,Cement,Mosaic / Vitrified tiles,Concrete,House,Livable,9,Krishna Padmashali,Male,4,2,Other sources,In premises,Electricity,Walkable distance,Yes,Septic tank,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Cycle,Rice,6790320204
263,Stone-slab flooring,Cement,Mud,Rent,Non Livable,2,Radha Vaddera,Female,1,0,Packaged water,In premises,Solar power,Walkable distance,No,Septic tank,N/A,LPG/PNG,Kerosene,N/A,N/A,No,No,Cycle,Rice,9258273902
264,Soil/Mud,Tiles/Bricks,Penkulu,School,Livable,8,Thirupathi Mangali,Male,1,0,Lake,In range of 500m,Electricity,Walkable distance,No,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,Bike,Dal Rice,8560833181
265,Soil/Mud,Soil/Mud,Mud,House,Non Livable,11,Tulasi Jangam,Female,3,1,Packaged water,In range of 500m,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,No,Yes,Car,Rice,6781137995
266,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Asbestos Sheets,House,Livable,4,Madhu Lambadi,Male,1,0,Well,Community,Electricity,Walkable distance,Yes,N/A,Bathroom,LPG/PNG,Kerosene,Smartphone,N/A,Yes,Yes,Cycle,Bajra Roti,6421776253
267,Other materials,Mosaic / Vitrified tiles,Penkulu,School,Livable,3,Susheela Chary,Female,5,0,Packaged water,Community,Any other,Shared by community,No,Septic tank,No roof,N/A,Wood,Smartphone,N/A,Yes,No,Cycle,Rice and Vegetables,6600780686
268,Mosaic / Vitrified tiles,Tiles/Bricks,Asbestos Sheets,House,Livable,9,Narsimha Yadav,Male,4,0,Hand pump,In premises,Electricity,Usage only for family,No,N/A,No roof,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Bike,Rice and Vegetables,6658046498
269,Mosaic / Vitrified tiles,Tiles/Bricks,Asbestos Sheets,Rent,Livable,1,Parvathi Gupta,Female,2,0,Hand pump,In premises,Electricity,Shared by community,Yes,Rings,Bathroom,N/A,Wood,Smartphone,N/A,Yes,No,N/A,Rice,7554864015
270,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,Rent,Livable,12,Prasad Jangam,Male,6,4,Well,Community,Kerosene,Walkable distance,No,Septic tank,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Cycle,Rice,7804682756
271,Stone-slab flooring,Cement,Concrete,House,Livable,4,Nagaraj Naidu,Male,3,1,Packaged water,Community,Kerosene,Shared by community,Yes,Rings,No roof,N/A,Wood,Smartphone,DTH connection,Yes,Yes,N/A,Rice,8729284222
272,Tiles/Bricks,Tiles/Bricks,Concrete,Empty,Livable,0,N/A,N/A,2,0,Purified water,In premises,Electricity,Usage only for family,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,9028140693
273,Tiles/Bricks,Mosaic / Vitrified tiles,Concrete,Rent,Livable,5,Venkatesh Mudiraj,Male,1,1,Other sources,In range of 500m,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,Bike,Wheat,9813767426
274,Stone-slab flooring,Other materials,Concrete,Hotel,Livable,3,Vasantha Patil,Female,2,0,Well,In range of 500m,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Bike,Chapati,8947873002
275,Cement,Cement,Asbestos Sheets,House,Livable,5,Bhaskar Erukala,Male,1,1,Purified water,In premises,Any other,Usage only for family,No,Rings,No roof,N/A,Cow dung cakes,Smartphone,DTH connection,Yes,No,Car,Rice and Curry,7902572520
276,Tiles/Bricks,Cement,Concrete,House,Livable,11,Chandra Mala,Male,5,0,Hand pump,In premises,Electricity,Usage only for family,No,N/A,Bathroom,N/A,Wood,Smartphone,DTH connection,Yes,Yes,Bike,Rice and Sambar,9521328338
277,Cement,Tiles/Bricks,Concrete,Shop,Livable,2,Bhavani Dasari,Female,4,0,Other sources,Community,Electricity,Usage only for family,No,N/A,No roof,N/A,Wood,Smartphone,Other,Yes,Yes,N/A,Rice,7423216110
278,Soil/Mud,Tiles/Bricks,Asbestos Sheets,House,Livable,11,Aruna Rao,Female,5,3,Purified water,Community,Solar power,Walkable distance,No,Septic tank,N/A,LPG/PNG,Electricity,Radio,N/A,No,No,Bike,Roti and Dal,7891190833
279,Tiles/Bricks,Stones,Mud,House,Non Livable,4,Rani Dasari,Female,3,1,Lake,In premises,Solar power,Walkable distance,Yes,Rings,Bathroom,N/A,Wood,Smartphone,Cable connection,Yes,No,Bike,Rice and Fish,6571647947
280,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Other materials,Empty,Livable,0,N/A,N/A,1,0,Well,In premises,Kerosene,Shared by community,No,N/A,No roof,N/A,N/A,N/A,N/A,No,No,N/A,N/A,8657967842
281,Soil/Mud,Soil/Mud,Stone,Empty,Broken,0,N/A,N/A,3,0,Other sources,In premises,Kerosene,Usage only for family,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,6028427624
282,Cement,Tiles/Bricks,Penkulu,Shop,Livable,8,Ramadevi Thogata,Female,4,0,Well,Community,Electricity,Shared by community,No,Septic tank,Bathroom,LPG/PNG,Kerosene,Smartphone,Cable connection,No,No,Bike,Rice and Dal,8650333491
283,Cement,Mosaic / Vitrified tiles,Concrete,House,Livable,9,Sunitha Boya,Female,1,2,Other sources,In premises,Kerosene,Shared by community,No,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,N/A,Rice and Dal,8563718344
284,Mosaic / Vitrified tiles,Tiles/Bricks,Asbestos Sheets,School,Livable,2,Anand Kuruma,Male,6,0,Purified water,In range of 500m,Electricity,Usage only for family,No,Rings,Bathroom,N/A,Grass (dry),Smartphone,DTH connection,Yes,No,Bike,Rice and Sambar,7082973748
285,Cement,Tiles/Bricks,Concrete,Shop,Livable,4,Aruna Rathod,Female,3,0,Packaged water,In range of 500m,Electricity,Walkable distance,No,Rings,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,Cycle,Rice,8778660324
286,Cement,Soil/Mud,Concrete,Shop,Livable,1,Harish Kapu,Male,6,0,Purified water,Community,Solar power,Walkable distance,Yes,Septic tank,No roof,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,N/A,Roti and Dal,8713915596
287,Stones,Mosaic / Vitrified tiles,Penkulu,House,Livable,4,Bharathi Uppara,Female,2,1,Hand pump,Community,Electricity,Shared by community,Yes,Septic tank,Bathroom,N/A,Wood,Smartphone,DTH connection,Yes,No,N/A,Rice,6348645183
288,Tiles/Bricks,Mosaic / Vitrified tiles,Asbestos Sheets,Devotional Place,Livable,5,Nagamani Reddy,Female,3,0,Well,In range of 500m,Any oil,Shared by community,No,N/A,Bathroom,LPG/PNG,Biogas,N/A,Cable connection,No,No,N/A,Pulao,6248156985
289,Stones,Cement,Asbestos Sheets,Rent,Livable,8,Suresh Sharma,Male,1,1,Purified water,In premises,Electricity,Walkable distance,No,N/A,N/A,N/A,Cow dung cakes,Smartphone,Cable connection,Yes,Yes,ATB,Chapati,8316526693
290,Tiles/Bricks,Mosaic / Vitrified tiles,Mud,Rent,Livable,2,Suresh Nayak,Male,1,0,Hand pump,Community,Electricity,Walkable distance,Yes,Rings,Bathroom,LPG/PNG,Biogas,N/A,Cable connection,No,No,N/A,Chapati,8476263934
291,Soil/Mud,Tiles/Bricks,Mud,House,Non Livable,1,Savithri Golla,Female,2,0,Hand pump,Community,Electricity,Usage only for family,No,N/A,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,No,Cycle,Rice and Rasam,9599004896
292,Soil/Mud,Stone-slab flooring,Concrete,House,Non Livable,1,Sekhar Chakali,Male,1,0,Packaged water,In premises,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,N/A,N/A,No,No,Car,Rice and Sambar,8856257287
293,Cement,Tiles/Bricks,Concrete,House,Livable,5,Rajesh Sharma,Male,3,1,Hand pump,In premises,Any other,Shared by community,Yes,Septic tank,No roof,LPG/PNG,Electricity,Smartphone,Other,Yes,No,N/A,Millets,7908926137
294,Stone-slab flooring,Other materials,Asbestos Sheets,Empty,Broken,0,N/A,N/A,2,0,Purified water,In premises,Solar power,Shared by community,No,N/A,No roof,N/A,Wood,N/A,N/A,No,No,N/A,N/A,9423610326
295,Stones,Tiles/Bricks,Asbestos Sheets,House,Livable,7,Pochamma Goud,Female,2,2,Well,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,No,ATB,Rice and Vegetables,7788147617
296,Soil/Mud,Tiles/Bricks,Mud,Hospital,Livable,5,Vijay Boya,Male,5,0,Purified water,In premises,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,Bike,Rice,8597794523
297,Stones,Soil/Mud,Concrete,Devotional Place,Livable,1,Madhu Munnuru,Male,1,0,Hand pump,In premises,Kerosene,Shared by community,No,Septic tank,N/A,LPG/PNG,Solar cooker,N/A,N/A,No,No,Bike,Chapati,7037236831
298,Other materials,Cement,Concrete,House,Livable,3,Srikanth Goud,Male,2,1,Hand pump,In premises,Electricity,Walkable distance,Yes,Septic tank,No roof,N/A,Biogas,N/A,Other,No,No,Bike,Roti and Dal,9308069581
299,Cement,Soil/Mud,Asbestos Sheets,Devotional Place,Livable,6,Nagaraj Golla,Male,4,0,Well,In premises,Electricity,Usage only for family,No,Septic tank,No roof,N/A,Cow dung cakes,Smartphone,Cable connection,Yes,No,N/A,Jowar Roti,8729341722
300,Tiles/Bricks,Soil/Mud,Mud,House,Livable,8,Shiva Thogata,Male,2,2,Other sources,In premises,Electricity,Walkable distance,No,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,Yes,No,Bike,Rice,8289107711
301,Cement,Mosaic / Vitrified tiles,Other materials,Hotel,Livable,2,Mahalakshmi Yadav,Female,2,0,Purified water,In premises,Electricity,Shared by community,No,Septic tank,No roof,LPG/PNG,Kerosene,N/A,Cable connection,No,No,N/A,Rice and Dal,7145653286
302,Mosaic / Vitrified tiles,Stones,Concrete,House,Livable,8,Vijaya Uppara,Female,3,2,River,Community,Electricity,Usage only for family,Yes,N/A,Bathroom,LPG/PNG,Wood,N/A,Other,Yes,No,N/A,Chapati,8668455048
303,Cement,Cement,Concrete,House,Livable,9,Manga Kuruma,Female,5,3,Packaged water,In premises,Electricity,Usage only for family,Yes,Septic tank,No roof,N/A,Wood,N/A,Doordarshan,No,No,N/A,Rice,6894346810
304,Tiles/Bricks,Cement,Concrete,House,Livable,11,Jyothi Jangam,Female,4,0,Other sources,In range of 500m,Any other,Shared by community,No,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,Car,Wheat,8893571266
305,Stones,Cement,Concrete,Devotional Place,Livable,8,Venkatesh Uppara,Male,1,0,Hand pump,In premises,Electricity,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Biogas,N/A,Doordarshan,Yes,No,Cycle,Bajra Roti,6377028519
306,Stones,Other materials,Asbestos Sheets,House,Livable,9,Sujatha Singh,Female,1,1,Hand pump,In range of 500m,Electricity,Shared by community,Yes,N/A,N/A,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,Bike,Rice and Vegetables,9567922877
307,Tiles/Bricks,Stones,Concrete,House,Livable,10,Manga Lambadi,Female,4,3,Other sources,In range of 500m,Kerosene,Shared by community,No,Rings,No roof,N/A,Cow dung cakes,Smartphone,Cable connection,Yes,Yes,Car,Rice and Vegetables,6983780182
308,Mosaic / Vitrified tiles,Cement,Concrete,House,Livable,10,Kumari Kamma,Female,1,3,Purified water,In range of 500m,Electricity,Usage only for family,Yes,N/A,Bathroom,LPG/PNG,Kerosene,Radio,Doordarshan,Yes,Yes,Cycle,Wheat,9209520046
309,Tiles/Bricks,Mosaic / Vitrified tiles,Concrete,Devotional Place,Livable,2,Rajesh Golla,Male,1,0,Hand pump,In range of 500m,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Bike,Millets,7496718325
310,Soil/Mud,Stones,Concrete,Rent,Livable,9,Prakash Padmashali,Male,1,3,Well,In range of 500m,Electricity,Walkable distance,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,Yes,N/A,Millets,8161284639
311,Soil/Mud,Other materials,Mud,Devotional Place,Broken,8,Narsimha Lambadi,Male,3,0,Hand pump,Community,Electricity,Shared by community,No,Septic tank,Bathroom,N/A,Cow dung cakes,Smartphone,Cable connection,No,No,N/A,Jowar Roti,6807156956
312,Tiles/Bricks,Soil/Mud,Asbestos Sheets,House,Livable,4,Mallesh Reddy,Male,1,1,Other sources,In premises,Electricity,Shared by community,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,N/A,Rice and Dal,8987283999
313,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,Shop,Livable,4,Krishna Patil,Male,5,0,Purified water,In range of 500m,Kerosene,Shared by community,No,N/A,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,No,No,Cycle,Roti and Dal,9580304687
